"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Authentication","1","0","Access Control","0"
"0","","0","Product Search","5","0","Parametrized Search","0"
"0","","0","Authentication","1","0","User Login","0"
"0","","0","Authentication","1","0","Profile Access","0"
"0","","0","Users","1","0","User Search","0"
"0","","0","Products","1","0","Product Validation","0"
"0","","0","Product Search","1","0","Special Query","0"
"0","","0","Products","1","0","Product List","0"
"0","","0","Product Search","1","0","Edge Cases","0"
"0","","0","Products","1","0","Product Schema","0"
